ID,time,conc,timehours
3E,5,0,0.083333333
3E,10,0.194491205,0.166666667
3E,15,1.031932802,0.25
3E,20,4.435206816,0.333333333
3E,30,5.716083207,0.5
3E,40,4.677193555,0.666666667
3E,50,5.512745637,0.833333333
3E,60,4.917934932,1
3E,70,4.224397073,1.166666667
3E,80,4.320289955,1.333333333
3E,90,4.169601141,1.5
3E,100,4.11751065,1.666666667
3E,110,4.1642332,1.833333333
3E,120,3.470695341,2
3E,130,3.763913701,2.166666667
3E,140,3.514497733,2.333333333
3E,150,3.462321355,2.5
3E,160,3.361060533,2.666666667
3E,170,2.963532362,2.833333333
1B,15,1.07853844,0.25
1B,20,4.661531944,0.333333333
1B,30,5.976889155,0.5
1B,40,4.84418257,0.666666667
1B,50,5.766565851,0.833333333
1B,60,4.85082711,1
1B,70,4.39577028,1.166666667
1B,80,4.62244617,1.333333333
1B,90,4.294009793,1.5
1B,100,4.296953731,1.666666667
1B,110,4.407885451,1.833333333
1B,120,3.572488803,2
1B,130,3.899196868,2.166666667
1B,140,3.621991552,2.333333333
1B,150,3.62455362,2.5
1B,160,3.494573762,2.666666667
1B,170,3.286785542,2.833333333
1E,2.5,2.18341729,0.04166667
1E,7.5,4.62140141,0.125
1E,12.5,7.71924133,0.20833333
1E,17.5,9.59875886,0.29166667
1E,22.5,8.88957014,0.375
1E,30,8.6378606,0.5
1E,40,7.67629266,0.66666667
1E,50,7.57735894,0.83333333
1E,60,8.24020596,1
1E,70,6.61860365,1.16666667
1E,80,5.30166006,1.33333333
1E,90,6.31970415,1.5
1E,100,4.85034191,1.66666667
1E,110,4.54867441,1.83333333
1E,120,4.1962007,2
1E,140,4.30325984,2.33333333
1E,150,4.25535556,2.5
1E,160,3.29383227,2.66666667
