ID,time,conc,timehours
3E,2.5,113.1958703,0.041666667
3E,7.5,157.4836253,0.125
3E,10,158.0408977,0.166666667
3E,12.5,44.85344733,0.208333333
3E,17.5,19.39950484,0.291666667
3E,22.5,18.02349629,0.375
3E,30,13.88350533,0.5
3E,50,8.379471105,0.833333333
3E,80,6.211759075,1.333333333
3E,110,4.596887842,1.833333333
3E,170,3.305522647,2.833333333
1B,2.5,111.6301658,0.041666667
1B,5,155.2838463,0.083333333
1B,7.5,155.2838463,0.125
1B,12.5,46.65970401,0.208333333
1B,17.5,19.96830939,0.291666667
1B,22.5,17.33436152,0.375
1B,27.5,14.02031203,0.458333333
1B,45,8.545561703,0.75
1B,75,6.14321768,1.25
1B,110,3.65712607,1.833333333
1B,170,2.392431933,2.833333333
1E,2.5,47.1731495,0.041666667
1E,7.5,149.704795,0.125
1E,10,173.697655,0.166666667
1E,12.5,88.5973658,0.208333333
1E,17.5,66.7642999,0.291666667
1E,22.5,49.5676378,0.375
1E,30,31.8181687,0.5
1E,50,24.1199319,0.833333333
1E,80,16.3923042,1.333333333
1E,110,11.1201077,1.833333333
1E,170,5.48398344,2.833333333
