tissue,f_water,f_lipids,f_proteins,f_pl,f_n_l,f_n_pl,f_a_pl,pH,f_ew,f_iw,AR,LR,pHiw,pHew,pHp,fnl_o,fnpl_o,AP_o ,fnl_i,fnpl_i,AP_i
Adipose,0.152,0.8,0.05,0.002,0.798,0.0478,0.0067,7.1,0.135,0.017,0.049,0.069,,,,,,,,,
Bone,0.446,0.268,0.268,0.0011,0.074,0.0016,8.00E-04,7,0.1,0.346,0.1,0.05,,,,,,,,,
Brain,0.782,0.107,0.08,0.0565,0.045,0.0553,0.02022,7.1,0.162,0.62,0.048,0.041,,,,,,,,,
Heart,0.776,0.1,0.17,0.0166,0.089,0.0079,0.00309,7.1,0.32,0.456,0.157,0.16,,,,,,,,,
Kidney,0.756,0.052,0.17,0.0162,0.036,0.0166,0.00387,7.22,0.273,0.483,0.13,0.137,,,,,,,,,
Gut,0.757,0.062,0.133,0.0163,0.0487,0.0124,3.50E-03,7.4,0.282,0.475,0.158,0.141,,,,,,,,,
Liver,0.734,0.067,0.18,0.0252,0.037,0.0115,0.00258,7.23,0.161,0.573,0.086,0.161,,,,,,,,,
Lung,0.782,0.01,0.18,0.009,0.003,0.0056,0.0014,6.6,0.336,0.446,0.212,0.168,,,,,,,,,
Muscle,0.748,0.019,0.17,0.0072,0.013,0.0092,0.0019,6.81,0.118,0.63,0.064,0.059,,,,,,,,,
Skin,0.673,0.1,0.29,0.0111,0.036,0.0502,0.01382,7,0.382,0.291,0.277,0.096,,,,,,,,,
Spleen,0.786,0.028,0.19,0.0198,0.014,0.0103,0.00191,7,0.207,0.579,0.097,0.207,,,,,,,,,
RBCs,0.663,0.005,0.33,NA,0.002,0.0025,0.0005,7.2,NA,0.603,NA,NA,,,,,,,,,
Plasma,0.928,0.009,0.07,0.00225,0.003,0.005,0.00097,7.3,NA,NA,NA,NA,,,,,,,,,
Thalamus,0.782,0.107,0.08,0.0565,0.045,0.0553,0.02022,7.1,0.142876368,0.560088763,0.0038,0.0021,7,7.3,7.4,0.019652068,0.015613301,0.007932601,0.019652068,0.0125191,0.008619051
Putamen,0.782,0.107,0.08,0.0565,0.045,0.0553,0.02022,7.1,0.133687224,0.606784568,0.0038,0.0021,7,7.3,7.4,0.021313721,0.016729884,0.008030428,0.021313721,0.013051564,0.008896479
Cortex,0.782,0.107,0.08,0.0565,0.045,0.0553,0.02022,7.1,0.113530392,0.537650035,0.0038,0.0021,7,7.3,7.4,0.016374961,0.014780539,0.006983944,0.016374961,0.011445187,0.007779882
ROB,0.782,0.107,0.08,0.0565,0.045,0.0553,0.02022,7.1,0.13635504,0.608647325,0.0038,0.0021,7,7.3,7.4,0.021631431,0.016801048,0.008115368,0.021631431,0.013146328,0.008970986
